orderID,year,offence_type,offence_group,gender,source,target,value,source1,target1
1,2013,Juveniles,10 Fraud offences,3 Unknown,All offenders,1 First time offenders,2,All offenders,First time offenders
1,2013,Juveniles,05 Criminal damage and arson,2 Female,All offenders,1 First time offenders,138,All offenders,First time offenders
1,2013,Adults,02 Sexual offences,2 Female,All offenders,1 First time offenders,52,All offenders,First time offenders
1,2013,Adults,12 Summary motoring offences,3 Unknown,All offenders,1 First time offenders,152,All offenders,First time offenders
1,2013,Juveniles,09 Miscellaneous crimes against society,3 Unknown,All offenders,1 First time offenders,5,All offenders,First time offenders
1,2013,Juveniles,04 Theft Offences,3 Unknown,All offenders,1 First time offenders,57,All offenders,First time offenders
1,2013,Juveniles,06 Drug offences,2 Female,All offenders,1 First time offenders,282,All offenders,First time offenders
1,2013,Juveniles,05 Criminal damage and arson,1 Male,All offenders,1 First time offenders,597,All offenders,First time offenders
1,2013,Juveniles,12 Summary motoring offences,2 Female,All offenders,1 First time offenders,29,All offenders,First time offenders
1,2013,Juveniles,01 Violence against the person,1 Male,All offenders,1 First time offenders,1162,All offenders,First time offenders
1,2013,Adults,10 Fraud offences,1 Male,All offenders,1 First time offenders,2354,All offenders,First time offenders
1,2013,Adults,06 Drug offences,3 Unknown,All offenders,1 First time offenders,63,All offenders,First time offenders
1,2013,Adults,02 Sexual offences,3 Unknown,All offenders,1 First time offenders,12,All offenders,First time offenders
1,2013,Juveniles,06 Drug offences,1 Male,All offenders,1 First time offenders,2797,All offenders,First time offenders
1,2013,Juveniles,09 Miscellaneous crimes against society,2 Female,All offenders,1 First time offenders,92,All offenders,First time offenders
1,2013,Juveniles,12 Summary motoring offences,1 Male,All offenders,1 First time offenders,200,All offenders,First time offenders
1,2013,Adults,10 Fraud offences,2 Female,All offenders,1 First time offenders,1566,All offenders,First time offenders
1,2013,Adults,03 Robbery,2 Female,All offenders,1 First time offenders,24,All offenders,First time offenders
1,2013,Adults,09 Miscellaneous crimes against society,2 Female,All offenders,1 First time offenders,1372,All offenders,First time offenders
1,2013,Juveniles,02 Sexual offences,1 Male,All offenders,1 First time offenders,533,All offenders,First time offenders
1,2013,Adults,05 Criminal damage and arson,3 Unknown,All offenders,1 First time offenders,7,All offenders,First time offenders
1,2013,Adults,11 Summary offences excluding motoring,1 Male,All offenders,1 First time offenders,38684,All offenders,First time offenders
1,2013,Adults,04 Theft Offences,1 Male,All offenders,1 First time offenders,11495,All offenders,First time offenders
1,2013,Juveniles,02 Sexual offences,3 Unknown,All offenders,1 First time offenders,4,All offenders,First time offenders
1,2013,Juveniles,03 Robbery,3 Unknown,All offenders,1 First time offenders,1,All offenders,First time offenders
1,2013,Juveniles,08 Public order offences,2 Female,All offenders,1 First time offenders,92,All offenders,First time offenders
1,2013,Juveniles,01 Violence against the person,3 Unknown,All offenders,1 First time offenders,14,All offenders,First time offenders
1,2013,Juveniles,09 Miscellaneous crimes against society,1 Male,All offenders,1 First time offenders,599,All offenders,First time offenders
1,2013,Juveniles,03 Robbery,1 Male,All offenders,1 First time offenders,824,All offenders,First time offenders
1,2013,Juveniles,11 Summary offences excluding motoring,2 Female,All offenders,1 First time offenders,2476,All offenders,First time offenders
