orderID,year,offence_type,offence_group,gender,source,target,value,source1,target1
1,2016,Adults,05 Criminal damage and arson,1 Male,All offenders,1 First time offenders,415,All offenders,First time offenders
1,2015,Juveniles,11 Summary offences excluding motoring,3 Unknown,All offenders,1 First time offenders,74,All offenders,First time offenders
1,2012,Juveniles,12 Summary motoring offences,3 Unknown,All offenders,1 First time offenders,1,All offenders,First time offenders
1,2011,Adults,12 Summary motoring offences,1 Male,All offenders,1 First time offenders,21501,All offenders,First time offenders
1,2020,Adults,07 Possession of weapons,2 Female,All offenders,1 First time offenders,219,All offenders,First time offenders
1,2021,Adults,06 Drug offences,3 Unknown,All offenders,1 First time offenders,145,All offenders,First time offenders
1,2011,Juveniles,12 Summary motoring offences,3 Unknown,All offenders,1 First time offenders,1,All offenders,First time offenders
1,2017,Juveniles,03 Robbery,2 Female,All offenders,1 First time offenders,31,All offenders,First time offenders
1,2018,Adults,11 Summary offences excluding motoring,2 Female,All offenders,1 First time offenders,8720,All offenders,First time offenders
1,2015,Adults,05 Criminal damage and arson,1 Male,All offenders,1 First time offenders,477,All offenders,First time offenders
1,2018,Juveniles,02 Sexual offences,3 Unknown,All offenders,1 First time offenders,5,All offenders,First time offenders
1,2019,Adults,07 Possession of weapons,2 Female,All offenders,1 First time offenders,266,All offenders,First time offenders
1,2019,Adults,01 Violence against the person,2 Female,All offenders,1 First time offenders,2372,All offenders,First time offenders
1,2021,Juveniles,05 Criminal damage and arson,1 Male,All offenders,1 First time offenders,100,All offenders,First time offenders
1,2019,Adults,11 Summary offences excluding motoring,2 Female,All offenders,1 First time offenders,7283,All offenders,First time offenders
1,2012,Juveniles,10 Fraud offences,1 Male,All offenders,1 First time offenders,122,All offenders,First time offenders
1,2020,Juveniles,06 Drug offences,1 Male,All offenders,1 First time offenders,1124,All offenders,First time offenders
1,2018,Adults,07 Possession of weapons,2 Female,All offenders,1 First time offenders,291,All offenders,First time offenders
1,2011,Adults,01 Violence against the person,3 Unknown,All offenders,1 First time offenders,62,All offenders,First time offenders
