orderID,year,offence_type,offence_group,gender,source,target,value,source1,target1
1,2015,Adults,06 Drug offences,3 Unknown,All offenders,1 First time offenders,83,All offenders,First time offenders
1,2014,Adults,05 Criminal damage and arson,2 Female,All offenders,1 First time offenders,180,All offenders,First time offenders
1,2016,Adults,12 Summary motoring offences,2 Female,All offenders,1 First time offenders,5735,All offenders,First time offenders
1,2021,Juveniles,12 Summary motoring offences,3 Unknown,All offenders,1 First time offenders,2,All offenders,First time offenders
1,2017,Juveniles,07 Possession of weapons,2 Female,All offenders,1 First time offenders,150,All offenders,First time offenders
1,2015,Juveniles,04 Theft Offences,2 Female,All offenders,1 First time offenders,1061,All offenders,First time offenders
1,2018,Juveniles,09 Miscellaneous crimes against society,3 Unknown,All offenders,1 First time offenders,4,All offenders,First time offenders
1,2012,Juveniles,01 Violence against the person,2 Female,All offenders,1 First time offenders,516,All offenders,First time offenders
1,2012,Adults,07 Possession of weapons,2 Female,All offenders,1 First time offenders,538,All offenders,First time offenders
1,2012,Adults,01 Violence against the person,1 Male,All offenders,1 First time offenders,4868,All offenders,First time offenders
1,2017,Juveniles,11 Summary offences excluding motoring,3 Unknown,All offenders,1 First time offenders,53,All offenders,First time offenders
1,2013,Adults,10 Fraud offences,2 Female,All offenders,1 First time offenders,1565,All offenders,First time offenders
1,2017,Juveniles,05 Criminal damage and arson,1 Male,All offenders,1 First time offenders,311,All offenders,First time offenders
1,2022,Adults,10 Fraud offences,2 Female,All offenders,1 First time offenders,315,All offenders,First time offenders
1,2018,Adults,05 Criminal damage and arson,3 Unknown,All offenders,1 First time offenders,7,All offenders,First time offenders
1,2021,Adults,01 Violence against the person,1 Male,All offenders,1 First time offenders,5059,All offenders,First time offenders
1,2016,Juveniles,05 Criminal damage and arson,2 Female,All offenders,1 First time offenders,67,All offenders,First time offenders
1,2016,Adults,06 Drug offences,2 Female,All offenders,1 First time offenders,1478,All offenders,First time offenders
1,2012,Juveniles,06 Drug offences,2 Female,All offenders,1 First time offenders,363,All offenders,First time offenders
1,2012,Adults,09 Miscellaneous crimes against society,1 Male,All offenders,1 First time offenders,5617,All offenders,First time offenders
1,2012,Adults,01 Violence against the person,3 Unknown,All offenders,1 First time offenders,48,All offenders,First time offenders
1,2022,Adults,07 Possession of weapons,1 Male,All offenders,1 First time offenders,2285,All offenders,First time offenders
